127.0.0.1 - - [15/Apr/2022:22:28:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:28:51 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:28:51 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:28:51 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:01 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3631
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:15 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:16 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:25 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:26 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:29 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:29 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:30 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:32 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:33 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:31:58 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:31:58 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:31:59 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:32:00 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:32:00 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:32:00 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:32:02 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3631
